r,g_r
0.05,14.851647745075251
0.15000000000000002,3.3003661655722785
0.25,3.564395458818061
0.35000000000000003,3.3340433713434234
0.45,4.217134544897911
0.55,7.8554169891307115
0.6500000000000001,8.436438955782391
0.75,9.57106188015961
0.8500000000000001,7.965416610680498
0.95,8.063498498711219
1.05,7.072213211940597
1.1500000000000001,8.169810007215307
1.25,7.817907373007614
1.35,9.126938531952966
1.4500000000000002,9.024009509790075
1.55,10.833512038811396
1.6500000000000001,10.419337811971985
1.75,9.080721764131729
1.85,8.906649232072157
1.9500000000000002,8.99300958133748
2.05,9.047047763805509
2.1500000000000004,9.50216294344187
2.25,9.695742379747895
2.3500000000000005,8.84106690121048
2.45,8.319644405300382
2.55,7.976836562810509
2.6500000000000004,7.988906992811926
2.75,7.914332616549194
2.8500000000000005,7.834941285028926
2.95,7.543152316372607
3.05,7.040662892317321
3.1500000000000004,6.7990536540190805
3.25,6.777272627811856
3.3500000000000005,6.676459155616363
3.45,6.940751151605217
3.55,6.950017264557136
3.6500000000000004,6.738841104821159
3.75,6.2865374721820775
3.8500000000000005,6.289844406794393
3.95,5.81120394063031
4.050000000000001,5.412328876463178
4.15,5.225779377857804
4.25,4.988920287515245
4.35,4.997641274502138
4.45,4.841175921952318
4.550000000000001,4.584085453014411
4.65,4.615704606169763
4.75,4.390492651951333
4.8500000000000005,4.165532830189561
4.95,4.058025983196768
5.050000000000001,4.047405228047171
5.15,3.6593653695566695
5.25,3.3704147535762616
5.3500000000000005,3.300077898809629
5.45,3.0350812831447453
5.550000000000001,2.96165071906906
5.65,2.9007760573433847
5.75,2.7670669220314124
5.8500000000000005,2.7145023491985016
5.95,2.5034166490710144
6.050000000000001,2.3848250699181692
6.15,2.1861735427511793
6.25,2.0350321806211915
6.3500000000000005,1.9438172478054347
6.45,1.827785264221749
6.550000000000001,1.773266489695192
6.65,1.7547596691281182
6.75,1.559728602692677
6.8500000000000005,1.518477916926816
6.95,1.3951524588433097
7.050000000000001,1.2594878576629382
7.15,1.1881899218026857
7.25,1.0857066627434324
7.3500000000000005,1.0494916982150915
7.45,1.03756162572009
7.550000000000001,0.967920203025386
7.65,0.8920251497106159
7.75,0.8122815873893395
7.8500000000000005,0.7754501459658343
7.95,0.7308037575599706
