lag,value
0,1.0
1,0.8794954024378059
2,0.770557141253648
3,0.6704704354145317
4,0.5765129206426093
5,0.49151114301564597
6,0.4150896198896643
7,0.343435257840451
8,0.27594637396925215
9,0.21515495535045243
10,0.16345474796910062
11,0.11197625134492606
12,0.07326779787653441
13,0.03974525172861113
14,0.01109648208188724
15,-0.013432878407459504
16,-0.04025767356860838
17,-0.0639870383473034
18,-0.08438714005875772
19,-0.10231468481405655
20,-0.11606905094318477
21,-0.12989280949490545
22,-0.14500657273247763
23,-0.15408145448051147
24,-0.16158416612063783
25,-0.1679066025223973
26,-0.17354112491887833
27,-0.17718048335588527
28,-0.18434791005756185
29,-0.1858648346741534
30,-0.18438410875726702
